Hero,Presence,Win Rate,KDA Ratio,GPM,XPM,Roles
Clinkz,0.0,0.5061997764835581,2.614556046959216,392.6349782226649,486.54991371024454,7
Omniknight,0.0,0.5089093364795079,2.7187971176652135,400.29215420092277,495.7282681654271,7
Enchantress,0.0,0.48124336335639833,2.650822799044262,415.8285564141473,499.30715006435014,7
Huskar,0.0,0.5124120944225188,2.563231521416783,394.9452063052341,490.3335270680628,7
Broodmother,0.0,0.500717188616705,2.8299052950312666,442.33237321977697,535.6186099761533,7
Weaver,0.0,0.5047191692926852,2.744762490806782,416.911154860952,510.8299052247315,7
Jakiro,0.0,0.5115383173025034,2.6477389050484574,395.5909934580264,486.85831256198566,7
Batrider,0.0,0.4903828156281072,2.6512381513098413,396.14376254103763,494.9569267009091,7
Spectre,0.0,0.5148619544282492,3.307109293554231,460.8103296377226,555.6666037934907,7
Doom,0.0,0.49230776569924883,2.6577575863424703,442.8758859764951,508.6261926839379,7
Ancient Apparition,0.0,0.510729263250205,2.750014440593783,372.63566129700496,464.56494253419584,7
Ursa,0.0,0.5046517969871575,2.6622473231651074,390.034713315893,489.35043039647405,7
Gyrocopter,0.0,0.47953635118203647,2.657858807863341,427.1129037173946,505.7895513358499,7
Alchemist,0.0,0.4983820669048637,2.6605016237175674,499.74709655877933,531.4907944554305,7
Invoker,0.0,0.493717282655711,2.9153665743924266,434.5788432936666,525.4750221354859,7
Silencer,0.0,0.4985038381387709,2.7552830406826763,419.01042056291635,510.3838208597284,7
Outworld Destroyer,0.0,0.4974069232203081,2.685404707231269,395.04840704378654,490.6983328855907,7
Lycan,0.0,0.5026703703611223,2.734859060135896,418.73880508627775,506.393460310321,7
Brewmaster,0.0,0.4918509295513087,2.626698538006731,405.59204805952874,506.58815815651843,7
Shadow Demon,0.0,0.4992057143370123,2.7113969781737706,426.75601790051286,514.5996405269933,7
